output,status,land,labor,labor_family,labor_hired,seed,urea,phosphate,pesticide,region
1060,mixed,0.546,371,131,240,10,150,50,1025,gunungwangi
900,owner,0.536,374,108,266,15,60,10,300,gunungwangi
1027,owner,0.566,562,232,330,17,100,33,0,gunungwangi
2154,owner,0.566,562,232,330,17,110,33,0,gunungwangi
2387,mixed,1.05,614,80,534,20,100,50,0,gunungwangi
2046,mixed,0.7,456,80,376,15,80,40,0,gunungwangi
1540,mixed,0.841,814,324,490,32,100,15,0,gunungwangi
2086,owner,0.753,714,304,410,17,150,50,0,gunungwangi
1008,owner,0.357,332,172,160,14,125,25,1100,gunungwangi
1146,owner,0.357,356,196,160,14,125,25,0,gunungwangi
1200,mixed,0.23,324,138,186,13,40,15,900,malausma
930,mixed,0.171,224,64,160,10,30,10,0,malausma
1232,mixed,0.314,331,281,50,15,60,40,0,malausma
348,mixed,0.286,215,107,108,9,50,20,0,malausma
1050,mixed,0.25,393,127,266,8,80,80,0,malausma
900,mixed,0.221,366,144,222,8,50,50,0,malausma
975,owner,0.42,302,160,142,15,125,75,500,malausma
250,owner,0.07,84,52,32,7,30,10,0,malausma
800,owner,0.43,221,69,152,12,75,125,250,malausma
520,owner,0.3,280,126,154,10,50,20,0,malausma
2150,owner,0.857,1680,855,825,20,150,50,0,malausma
700,owner,0.286,305,173,132,8,50,20,0,malausma
450,owner,0.112,90,90,1,5,15,10,0,malausma
130,owner,0.07,69,69,1,4,10,2,0,malausma
500,owner,0.143,116,110,6,4,20,5,0,malausma
185,owner,0.086,105,105,1,4,1,2,0,malausma
360,owner,0.071,143,52,91,4,25,15,0,malausma
200,owner,0,68,29,39,2,8,7,0,malausma
1370,owner,0.455,559,359,200,20,150,50,500,malausma
250,owner,0.07,61,61,1,3,15,10,0,malausma
1496,owner,0.464,692,212,480,20,150,50,0,malausma
250,owner,0.14,147,84,63,5,25,15,0,malausma
2000,owner,0.457,750,374,376,27,200,150,1000,malausma
1638,mixed,0.314,515,230,285,22,120,60,0,malausma
310,owner,0.143,175,110,65,6,18,18,0,malausma
100,owner,0,64,19,45,3,5,5,0,malausma
420,owner,0.143,63,35,28,6,35,35,0,malausma
130,owner,0.085,90,31,59,2,6,4,0,malausma
300,owner,0.071,129,89,40,2,17,8,0,malausma
98,owner,0,40,12,28,2,10,5,0,malausma
700,owner,0.214,388,104,284,7,40,40,360,malausma
600,owner,0.214,293,109,184,7,40,40,0,malausma
320,owner,0.143,91,67,24,6,30,20,0,malausma
280,owner,0.143,118,76,42,5,32,10,0,malausma
500,owner,0.214,239,153,86,7,70,70,0,malausma
350,owner,0.214,158,120,38,7,60,60,0,malausma
616,owner,0.196,217,217,1,10,15,10,0,malausma
230,owner,0.14,126,126,1,5,15,15,0,malausma
224,owner,0.143,98,98,1,6,15,15,0,malausma
225,owner,0.126,104,104,1,5,19,19,0,malausma
550,owner,0.143,141,141,1,5,25,10,0,malausma
550,owner,0.143,141,141,1,5,25,10,0,malausma
1333,owner,0.429,444,78,366,30,90,60,360,malausma
440,owner,0.143,188,42,146,10,30,20,0,malausma
800,owner,0.28,199,88,111,20,70,40,0,malausma
380,owner,0.213,190,31,159,10,40,20,0,malausma
1667,owner,0.4,385,63,322,12,150,50,0,malausma
1300,owner,0.25,257,50,207,8,100,30,0,malausma
1500,owner,0.49,369,246,123,25,200,100,500,malausma
685,owner,0.34,179,152,27,10,60,20,0,malausma
1300,owner,0.5,636,331,305,15,75,75,0,malausma
250,owner,0.143,149,56,93,10,23,36,0,malausma
2789,owner,1.114,1088,663,425,33,260,75,0,malausma
2395,owner,0.557,561,308,253,15,130,40,0,malausma
378,mixed,0.086,130,62,68,8,50,25,0,malausma
207,mixed,0,86,71,15,3,13,12,0,malausma
870,mixed,0.229,422,356,66,26,70,40,0,malausma
158,owner,0.057,130,104,26,4,20,17,0,malausma
1580,owner,0.486,984,308,676,20,200,60,0,malausma
200,owner,0.057,94,68,26,3,20,5,0,malausma
700,mixed,0.206,253,127,126,10,70,30,0,malausma
310,mixed,0.091,130,73,57,5,30,30,0,malausma
1000,mixed,0.414,426,216,210,10,60,40,0,malausma
270,owner,0.128,166,98,68,5,26,12,0,malausma
284,owner,0.143,182,107,75,5,40,20,0,malausma
238,owner,0.093,74,40,34,4,35,10,0,malausma
500,owner,0.143,173,78,95,5,30,20,0,malausma
150,owner,0,60,60,1,3,15,10,0,malausma
250,owner,0.07,76,76,1,2,25,5,0,malausma
95,owner,0,70,70,1,1,5,2,0,malausma
434,owner,0.143,154,138,16,5,30,15,0,malausma
200,owner,0.071,75,75,1,2,15,5,0,malausma
450,mixed,0.143,144,99,45,6,30,20,0,malausma
250,mixed,0.071,93,64,29,3,15,10,0,malausma
580,mixed,0.213,141,103,38,7,46,29,250,malausma
210,owner,0.071,62,46,16,3,15,8,0,malausma
1444,owner,0.357,362,240,122,20,100,25,500,malausma
533,owner,0.143,193,117,76,6,30,10,0,malausma
372,mixed,0.143,160,128,32,6,25,15,0,malausma
186,mixed,0.071,80,64,16,3,12,8,0,malausma
372,mixed,0.143,103,103,1,3,20,10,0,malausma
110,owner,0.071,58,34,24,3,15,5,0,malausma
810,owner,0.185,352,317,35,5,70,30,0,malausma
600,owner,0.114,184,163,21,2,30,20,0,malausma
875,owner,0.133,175,125,50,10,50,50,0,malausma
270,owner,0.156,167,117,50,6,25,25,0,malausma
570,owner,0.179,178,133,45,5,30,30,50,malausma
275,owner,0.107,157,126,31,4,20,5,50,malausma
1100,owner,0.2,245,165,80,6,60,30,0,malausma
500,owner,0.114,248,244,4,4,25,25,0,malausma
1388,owner,0.56,301,85,216,15,75,35,0,malausma
930,owner,0.406,138,29,109,8,60,20,0,malausma
1457,owner,0.286,217,142,75,10,75,50,0,malausma
440,owner,0.286,178,97,81,10,60,40,0,malausma
1110,owner,0.286,363,184,179,20,100,50,0,malausma
780,owner,0.164,226,139,87,10,70,30,0,malausma
930,owner,0.214,141,85,56,16,70,30,180,malausma
620,owner,0.143,66,52,14,6,40,20,0,malausma
850,owner,0.22,161,98,63,10,25,75,0,malausma
248,owner,0.171,99,61,38,7,30,20,0,malausma
1500,owner,0.371,446,109,337,15,100,25,0,malausma
840,owner,0.193,247,110,137,8,50,25,0,malausma
2500,owner,0.7,673,175,498,25,100,50,0,malausma
1800,owner,0.5,366,156,210,20,75,25,0,malausma
2000,owner,0.714,354,58,296,20,150,75,0,malausma
1100,owner,0.6,643,64,579,20,200,20,0,malausma
1950,owner,0.429,464,212,252,15,80,20,0,malausma
1100,owner,0.429,414,162,252,15,60,20,0,malausma
250,mixed,0.071,107,102,5,2,15,7,0,malausma
180,mixed,0.071,107,102,5,2,15,7,0,malausma
450,mixed,0.14,128,89,39,10,25,50,0,malausma
150,owner,0.07,110,81,29,2,20,10,0,malausma
1200,owner,0.214,322,232,90,10,60,20,0,malausma
300,owner,0.071,152,128,24,3,20,5,0,malausma
4300,owner,1.12,881,221,660,33,270,170,0,malausma
1660,owner,0.322,444,114,330,6,70,30,0,malausma
1300,owner,0.428,156,44,112,10,75,75,0,malausma
700,owner,0.3,229,54,175,15,75,15,0,malausma
1483,owner,0.429,571,138,433,25,65,65,0,malausma
780,owner,0.214,360,122,238,12,30,30,0,malausma
700,mixed,0.164,119,85,34,6,8,7,0,malausma
350,mixed,0.086,95,95,1,3,4,3,0,malausma
840,mixed,0.157,299,116,183,15,50,50,0,malausma
160,owner,0.1,130,65,65,9,10,8,0,malausma
928,owner,0.393,487,287,200,12,85,25,0,malausma
330,owner,0.106,211,195,16,3,20,15,0,malausma
434,owner,0.143,146,82,64,6,35,25,150,malausma
200,owner,0.057,79,42,37,3,13,12,0,malausma
550,owner,0.214,191,137,54,6,35,25,0,malausma
230,mixed,0.1,130,99,31,5,15,4,0,malausma
1530,owner,0.314,403,291,112,15,70,30,0,malausma
400,owner,0.121,201,175,26,4,30,15,0,malausma
2600,mixed,0.56,677,677,1,14,100,75,500,malausma
1160,mixed,0.455,177,177,1,20,50,20,0,malausma
1650,mixed,0.571,599,484,115,16,100,0,0,malausma
574,owner,0.465,281,212,69,13,62,18,0,malausma
1300,owner,0.321,436,400,36,10,70,25,0,malausma
100,owner,0,62,62,1,2,6,5,0,malausma
1200,owner,0.286,510,435,75,7,95,30,0,malausma
630,owner,0.143,196,184,12,4,35,20,0,malausma
1010,owner,0.357,382,312,70,30,100,50,125,malausma
490,mixed,0.143,257,152,105,7,30,20,0,malausma
512,owner,0.121,188,140,48,4,35,25,0,malausma
300,owner,0.079,122,94,28,3,25,10,0,malausma
992,owner,0.357,177,130,47,10,50,30,0,malausma
186,owner,0.1,67,39,28,3,15,10,0,malausma
868,owner,0.286,322,195,127,10,30,20,0,malausma
162,owner,0.1,87,68,19,3,8,4,0,malausma
1000,owner,0.321,470,424,46,10,65,30,0,malausma
550,owner,0.193,169,159,10,5,40,20,0,malausma
596,owner,0.279,191,133,58,6,48,39,0,malausma
210,owner,0.107,161,129,32,3,10,5,0,malausma
195,owner,0.071,134,134,1,3,5,6,0,malausma
132,owner,0.071,89,43,46,3,4,4,0,malausma
600,owner,0.143,263,189,74,5,40,10,0,malausma
240,owner,0.071,89,67,22,3,20,5,0,malausma
640,owner,0.21,205,130,75,9,70,50,250,malausma
446,owner,0.212,239,167,72,4,45,18,0,malausma
860,owner,0.214,288,202,86,15,50,20,0,malausma
279,owner,0.143,156,121,35,3,70,20,0,malausma
455,owner,0.114,314,188,126,4,40,19,0,malausma
250,owner,0.071,151,118,33,3,27,13,0,malausma
2170,owner,0.357,446,196,250,12,50,20,360,malausma
430,owner,0.143,168,92,76,4,25,25,0,malausma
1050,owner,0.286,265,146,119,10,100,50,0,malausma
186,owner,0.1,134,53,81,2,30,30,0,malausma
1000,owner,0.287,288,228,60,10,60,25,0,malausma
320,owner,0.129,160,144,16,5,25,15,0,malausma
1000,owner,0.286,268,93,175,6,50,50,250,malausma
400,owner,0.143,154,90,64,3,25,25,0,malausma
500,owner,0.142,126,112,14,5,25,25,0,malausma
310,owner,0.214,195,150,45,7,32,28,0,malausma
500,owner,0.171,308,292,16,6,40,20,0,malausma
350,owner,0.15,183,183,1,5,30,20,0,malausma
300,owner,0.084,110,110,1,6,20,10,0,malausma
262,owner,0,28,28,1,2,5,3,0,malausma
320,owner,0.1,103,89,14,7,20,10,0,malausma
100,owner,0.071,76,76,1,4,7,7,0,malausma
700,owner,0.214,204,174,30,8,60,40,0,malausma
150,owner,0.074,111,111,1,5,40,10,0,malausma
325,owner,0.098,142,115,27,5,20,10,0,malausma
240,owner,0.056,57,57,1,3,15,10,0,malausma
510,owner,0.1,220,220,1,5,15,10,0,malausma
120,owner,0,126,112,14,3,12,8,0,malausma
730,owner,0.164,501,458,43,7,50,50,0,malausma
364,owner,0.086,275,243,32,3,15,10,0,malausma
600,owner,0.143,214,204,10,5,50,15,0,malausma
200,owner,0,84,84,1,1,5,5,0,malausma
744,owner,0.229,221,161,60,4,40,40,0,malausma
124,owner,0,82,82,1,3,15,9,0,malausma
1025,owner,0.277,720,450,270,15,125,75,0,malausma
784,mixed,0.186,302,196,106,10,75,25,0,malausma
1240,owner,0.571,405,270,135,20,75,25,0,malausma
164,owner,0.071,118,118,1,5,15,10,0,malausma
1240,owner,0.571,665,520,145,13,125,75,0,malausma
420,owner,0.355,317,161,156,15,31,24,0,malausma
1800,owner,0.464,430,220,210,15,100,45,0,malausma
1600,owner,0.321,270,260,10,10,75,30,0,malausma
600,owner,0.346,187,137,50,10,40,15,425,sukaambit
327,owner,0.186,199,189,10,5,20,5,425,sukaambit
725,owner,0.345,310,268,42,11,35,35,1500,sukaambit
315,owner,0.185,218,152,66,5,47,5,225,sukaambit
2224,mixed,0.572,793,682,111,20,195,100,1500,sukaambit
2520,owner,0.606,814,692,122,22,127,80,2400,sukaambit
550,owner,0.242,266,100,166,6,25,20,900,sukaambit
495,owner,0.107,214,94,120,4,19,19,675,sukaambit
605,owner,0.178,264,174,90,20,50,50,1000,sukaambit
400,owner,0.142,266,172,94,5,90,25,200,sukaambit
2640,mixed,1.053,702,385,317,45,235,115,1200,sukaambit
3970,mixed,1.053,875,385,490,45,235,115,1200,sukaambit
1308,owner,0.4,228,48,180,10,75,50,900,sukaambit
600,owner,0.157,114,42,72,5,30,5,0,sukaambit
1230,owner,0.385,248,80,168,12,170,50,600,sukaambit
220,owner,0.085,112,70,42,3,38,3,200,sukaambit
5874,owner,1.224,422,91,331,36,240,175,10000,sukaambit
1492,owner,0.265,217,127,90,8,100,65,0,sukaambit
250,share,0.121,136,124,12,2,10,10,150,sukaambit
225,share,0.05,136,124,12,8,10,10,0,sukaambit
200,share,0.5,54,42,12,2,20,20,1000,sukaambit
120,share,0.08,72,66,6,2,12,3,350,sukaambit
378,mixed,0.092,104,99,5,3,14,14,500,sukaambit
234,mixed,0.092,101,96,5,3,14,14,500,sukaambit
2420,owner,0.4,409,119,290,18,105,36,0,sukaambit
2145,owner,0.35,309,119,190,14,94,0,0,sukaambit
1540,owner,0.348,292,197,95,15,80,50,300,sukaambit
2380,owner,0.85,528,290,238,9,52,40,0,sukaambit
1947,owner,0.286,384,175,209,10,79,50,0,sukaambit
2456,owner,0.4,439,234,205,13,112,86,0,sukaambit
900,owner,0.211,166,142,24,8,50,50,270,sukaambit
500,owner,0.211,202,142,60,8,50,50,270,sukaambit
1080,owner,0.28,130,105,25,10,40,40,400,sukaambit
835,mixed,0.242,287,161,126,7,54,12,150,sukaambit
564,owner,0.175,247,196,51,8,63,38,0,sukaambit
1240,owner,0.21,236,205,31,9,65,40,0,sukaambit
600,mixed,0.164,560,252,308,5,16,8,300,sukaambit
240,mixed,0.164,140,140,1,5,16,8,300,sukaambit
810,mixed,0.203,156,106,50,8,25,10,250,sukaambit
440,share,0.185,441,235,206,11,21,9,0,sukaambit
1175,owner,0.349,225,120,105,16,85,30,800,sukaambit
1107,owner,0.349,225,120,105,16,85,15,800,sukaambit
763,owner,0.286,381,71,310,8,50,0,0,sukaambit
654,owner,0.186,206,166,40,8,50,0,0,sukaambit
280,owner,0.214,120,60,60,7,40,0,450,sukaambit
660,owner,0.19,227,125,102,6,38,0,250,sukaambit
428,owner,0.129,188,98,90,5,41,9,0,sukaambit
594,owner,0.129,164,84,80,5,41,9,0,sukaambit
464,owner,0.157,237,77,160,3,15,10,500,sukaambit
364,owner,0.157,97,77,20,3,15,10,300,sukaambit
530,owner,0.157,290,272,18,5,15,10,500,sukaambit
737,owner,0.157,170,131,39,50,25,15,0,sukaambit
654,owner,0.186,167,107,60,7,70,42,750,sukaambit
598,owner,0.186,158,98,60,7,70,42,750,sukaambit
640,owner,0.214,266,236,30,5,25,1,100,sukaambit
540,owner,0.214,296,260,36,5,25,1,100,sukaambit
228,owner,0.114,145,109,36,4,10,2,120,sukaambit
210,owner,0.114,188,104,84,2,10,5,125,sukaambit
1194,mixed,0.3,490,318,172,12,65,85,700,sukaambit
1560,mixed,0.3,490,318,172,12,70,80,0,sukaambit
709,owner,0.2,151,61,90,6,15,0,0,sukaambit
545,owner,0.157,141,66,75,5,10,0,0,sukaambit
250,owner,0.193,216,75,141,7,15,5,0,sukaambit
320,mixed,0.194,291,131,160,13,7,0,0,sukaambit
1106,owner,0.192,216,141,75,9,28,57,0,sukaambit
1106,owner,0.192,180,141,39,9,28,57,0,sukaambit
1090,mixed,0.423,605,173,432,15,100,30,400,sukaambit
545,mixed,0.137,164,88,76,6,35,15,175,sukaambit
500,mixed,0.414,163,97,66,15,100,40,1000,sukaambit
320,mixed,0.128,211,76,135,4,40,0,0,sukaambit
2168,mixed,0.272,268,88,180,12,170,35,1000,sukaambit
2347,mixed,0.272,307,149,158,12,180,25,1000,sukaambit
763,owner,0.143,205,165,40,6,60,40,300,sukaambit
763,owner,0.143,298,183,115,6,60,40,300,sukaambit
440,owner,0.16,316,316,1,10,25,25,850,sukaambit
385,mixed,0.099,253,130,123,5,25,10,0,sukaambit
640,owner,0.242,276,261,15,7,50,28,750,sukaambit
1325,owner,0.215,273,253,20,7,50,28,750,sukaambit
200,owner,0.078,77,77,1,2,8,0,120,sukaambit
100,owner,0,77,77,1,2,8,0,60,sukaambit
100,owner,0,70,70,1,2,6,0,250,sukaambit
100,owner,0,31,26,5,1,10,0,0,sukaambit
476,owner,0.129,127,112,15,7,75,15,600,sukaambit
802,owner,0.129,166,151,15,7,75,15,0,sukaambit
1090,owner,0.357,481,266,215,16,40,40,0,sukaambit
436,owner,0.142,191,183,8,3,1,0,0,sukaambit
1200,owner,0.511,394,264,130,30,100,50,700,sukaambit
460,owner,0.185,154,130,24,10,17,3,1400,sukaambit
1836,owner,0.372,234,102,132,20,62,62,310,sukaambit
2992,owner,0.844,936,378,558,37,140,140,500,sukaambit
273,owner,0.1,80,70,10,3,20,8,150,sukaambit
273,owner,0.057,69,59,10,2,20,5,0,sukaambit
380,owner,0.093,69,45,24,4,30,9,0,sukaambit
150,owner,0.092,104,84,20,6,32,6,450,sukaambit
603,share,0.107,129,93,36,5,31,21,800,sukaambit
1257,share,0.213,230,177,53,10,71,41,1600,sukaambit
350,share,0.084,126,114,12,4,20,8,150,sukaambit
250,share,0.055,120,114,6,2,10,5,150,sukaambit
430,share,0.124,106,52,54,5,15,20,600,sukaambit
360,share,0.121,88,76,12,2,25,12,100,sukaambit
1276,mixed,0.222,342,314,28,10,74,35,450,sukaambit
1350,mixed,0.222,233,221,12,10,61,31,0,sukaambit
273,owner,0.071,69,27,42,3,15,10,150,sukaambit
273,owner,0.071,87,27,60,3,15,10,150,sukaambit
436,owner,0.143,131,33,98,6,50,50,600,sukaambit
310,share,0.057,104,46,58,3,25,5,200,sukaambit
1834,owner,0.358,283,33,250,14,100,150,750,sukaambit
1834,owner,0.358,268,18,250,14,100,150,750,sukaambit
610,owner,0.185,162,132,30,10,80,50,800,sukaambit
500,owner,0.114,181,101,80,6,80,30,700,sukaambit
850,owner,0.214,113,83,30,12,50,25,670,sukaambit
210,share,0.085,203,187,16,3,16,4,150,sukaambit
792,share,0.212,243,135,108,9,109,40,500,sukaambit
766,share,0.212,242,114,128,9,100,40,500,sukaambit
440,mixed,0.178,192,90,102,8,30,15,450,sukaambit
220,mixed,0.093,120,76,44,2,5,10,150,sukaambit
350,mixed,0.187,143,71,72,12,30,15,850,sukaambit
220,owner,0.074,88,48,40,2,13,8,150,sukaambit
1118,mixed,0.194,257,156,101,8,47,70,750,sukaambit
1431,mixed,0.315,385,239,146,13,114,67,300,sukaambit
2180,share,0.7,609,280,329,20,100,50,400,sukaambit
545,share,0.143,102,55,47,5,20,10,300,sukaambit
995,share,0.7,240,64,176,20,100,50,600,sukaambit
520,mixed,0.171,173,115,58,5,37,10,900,sukaambit
1518,mixed,0.521,312,181,131,13,105,60,2300,sukaambit
220,share,0.057,58,50,8,2,15,10,300,sukaambit
2344,owner,0.591,534,166,368,23,150,50,680,sukaambit
1199,owner,0.204,231,80,151,10,100,15,0,sukaambit
1045,owner,0.596,313,55,258,20,200,50,2100,sukaambit
1205,mixed,0.317,398,88,310,12,100,75,300,sukaambit
2750,owner,0.472,512,220,292,16,222,98,1625,sukaambit
3441,owner,0.435,642,244,398,22,297,123,2375,sukaambit
220,owner,0.054,74,34,40,3,15,5,0,ciwangi
220,owner,0.054,74,34,40,3,15,5,0,ciwangi
220,owner,0.06,76,41,35,4,16,2,0,ciwangi
160,owner,0.06,161,106,55,4,18,2,0,ciwangi
100,owner,0,49,49,1,2,15,5,0,ciwangi
180,owner,0.069,59,59,1,2,15,5,0,ciwangi
1210,mixed,0.357,364,44,320,16,60,20,0,ciwangi
1100,mixed,0.357,374,49,325,16,60,20,0,ciwangi
1392,mixed,0.47,400,295,105,14,115,35,0,ciwangi
1100,mixed,0.47,610,355,255,25,75,25,0,ciwangi
1438,mixed,0.339,393,353,40,14,76,33,0,ciwangi
1210,mixed,0.339,408,318,90,7,76,33,0,ciwangi
3600,owner,1.628,1950,410,1540,70,250,50,1000,ciwangi
2750,owner,1.057,1340,295,1045,40,250,50,1000,ciwangi
4000,owner,1.4,1020,320,700,47,275,125,0,ciwangi
2100,owner,1,1120,450,670,40,250,70,0,ciwangi
4180,owner,0.98,1364,129,1235,38,190,110,3000,ciwangi
1760,owner,0.55,455,60,395,22,106,64,1500,ciwangi
350,owner,0.107,115,65,50,4,15,5,0,ciwangi
330,owner,0.107,139,84,55,4,15,5,0,ciwangi
335,owner,0.104,45,30,15,5,20,5,0,ciwangi
275,owner,0.104,177,94,83,5,10,5,0,ciwangi
330,owner,0.104,110,70,40,8,50,20,500,ciwangi
300,mixed,0.175,110,70,40,8,50,10,500,ciwangi
495,owner,0.135,180,35,145,8,20,10,0,ciwangi
440,owner,0.135,108,33,75,8,20,10,0,ciwangi
310,owner,0.2,97,42,55,9,9,9,0,ciwangi
390,owner,0.2,138,23,115,4,13,5,0,ciwangi
550,owner,0.143,216,36,180,14,30,10,0,ciwangi
375,owner,0.143,216,36,180,14,30,10,0,ciwangi
550,share,0.286,204,34,170,5,25,25,0,ciwangi
495,share,0.286,239,34,205,5,25,25,0,ciwangi
520,share,0.286,185,60,125,8,1,0,0,ciwangi
350,share,0.14,259,124,135,8,1,0,0,ciwangi
605,owner,0.143,132,62,70,5,30,10,0,ciwangi
550,owner,0.143,126,71,55,5,30,10,0,ciwangi
440,owner,0.184,111,71,40,10,40,20,0,ciwangi
240,owner,0.184,111,71,40,10,40,10,0,ciwangi
310,owner,0.143,101,81,20,10,50,20,0,ciwangi
550,owner,0.214,295,105,190,10,50,30,0,ciwangi
2365,mixed,0.667,706,126,580,32,300,100,0,ciwangi
2420,mixed,0.667,906,126,880,32,300,100,0,ciwangi
275,owner,0.2,215,115,100,10,10,10,0,ciwangi
300,owner,0.2,220,120,100,10,15,10,0,ciwangi
350,owner,0.186,121,101,20,5,15,15,250,ciwangi
320,owner,0.2,185,145,40,15,10,10,0,ciwangi
740,owner,0.243,387,187,200,12,39,26,0,ciwangi
830,owner,0.243,417,212,205,12,39,26,0,ciwangi
2200,owner,0.957,1844,1234,610,40,100,50,0,ciwangi
1740,owner,0.742,1359,984,375,80,100,50,0,ciwangi
4540,owner,1.215,678,230,448,56,140,60,0,ciwangi
1300,owner,0.714,665,405,260,30,75,75,0,ciwangi
550,owner,0.215,215,75,140,8,35,15,0,ciwangi
935,owner,0.429,398,150,248,20,75,35,0,ciwangi
610,owner,0.235,485,185,300,15,50,50,0,ciwangi
550,owner,0.235,470,170,300,15,50,50,0,ciwangi
640,owner,0.313,231,101,130,20,50,25,0,ciwangi
680,owner,0.315,270,110,160,10,50,25,125,ciwangi
1116,owner,0.358,598,433,165,24,112,38,0,ciwangi
2575,mixed,0.644,1019,694,325,41,202,68,0,ciwangi
1000,mixed,0.303,805,515,290,15,1,0,0,ciwangi
800,mixed,0.303,765,550,215,15,1,0,0,ciwangi
720,mixed,0.507,192,42,150,15,8,0,0,ciwangi
975,owner,0.607,705,280,425,20,3,2,0,ciwangi
2112,mixed,0.725,710,190,520,41,145,67,0,ciwangi
1375,mixed,0.574,565,155,410,41,104,53,0,ciwangi
440,share,0.143,164,124,40,5,1,0,0,ciwangi
330,share,0.143,179,139,40,5,1,0,0,ciwangi
240,share,0.142,98,98,1,6,1,0,0,ciwangi
150,share,0.141,136,136,1,10,1,0,0,ciwangi
952,share,0.215,293,233,60,16,50,20,0,ciwangi
756,share,0.215,363,303,60,16,50,20,0,ciwangi
1210,owner,0.286,200,120,80,10,40,20,0,ciwangi
1100,owner,0.286,200,120,80,10,40,20,0,ciwangi
690,owner,0.286,160,25,135,20,75,25,0,ciwangi
1110,owner,0.586,425,155,270,16,50,20,0,ciwangi
1100,owner,0.357,461,91,370,16,40,20,0,ciwangi
880,owner,0.357,461,91,370,16,40,20,0,ciwangi
350,owner,0.071,74,44,30,6,20,20,0,ciwangi
425,owner,0.071,100,90,10,6,20,20,0,ciwangi
280,owner,0.071,60,60,1,4,18,18,160,ciwangi
150,owner,0.077,72,62,10,3,5,3,0,ciwangi
222,owner,0.072,145,75,70,3,15,10,0,ciwangi
195,owner,0.072,135,75,60,3,15,10,0,ciwangi
2200,mixed,0.571,690,70,620,16,150,50,0,ciwangi
550,mixed,0.143,74,44,30,4,40,10,0,ciwangi
980,mixed,0.366,249,174,75,25,150,50,900,ciwangi
900,mixed,0.366,475,225,250,115,100,50,0,ciwangi
1100,owner,0.343,340,95,245,14,120,40,0,ciwangi
990,owner,0.343,350,105,245,14,120,40,0,ciwangi
990,owner,0.214,145,20,125,6,60,30,0,ciwangi
880,owner,0.214,170,20,150,8,60,30,0,ciwangi
930,owner,0.271,350,260,90,8,60,30,0,ciwangi
1000,owner,0.271,338,163,175,10,60,40,0,ciwangi
1485,owner,0.3,268,128,140,10,100,50,0,ciwangi
1500,owner,0.3,372,242,130,10,100,50,0,ciwangi
770,mixed,0.143,174,74,100,5,40,10,0,ciwangi
715,mixed,0.143,124,74,50,5,40,10,0,ciwangi
570,mixed,0.148,149,149,1,7,39,7,0,ciwangi
535,mixed,0.142,60,40,20,7,25,15,0,ciwangi
460,owner,0.077,77,49,28,10,20,5,0,ciwangi
525,owner,0.077,77,49,28,10,20,5,0,ciwangi
1320,owner,0.286,305,25,280,10,75,25,0,ciwangi
1320,owner,0.286,305,25,280,10,75,25,0,ciwangi
1580,owner,0.429,253,113,140,18,75,25,0,ciwangi
900,owner,0.286,222,82,140,10,60,20,0,ciwangi
2150,mixed,0.486,419,229,190,28,65,40,15000,ciwangi
2035,mixed,0.486,416,276,140,28,115,60,0,ciwangi
1100,mixed,0.429,250,50,200,16,100,50,0,ciwangi
990,mixed,0.429,280,50,230,16,100,50,0,ciwangi
950,mixed,0.286,185,165,20,15,75,25,0,ciwangi
1280,mixed,0.25,146,76,70,10,75,25,250,ciwangi
960,owner,0.179,255,115,140,9,50,25,8350,ciwangi
855,owner,0.179,279,149,130,9,50,25,500,ciwangi
880,mixed,0.286,320,70,250,12,50,20,0,ciwangi
770,mixed,0.286,470,80,390,15,50,20,0,ciwangi
1340,mixed,0.357,350,225,125,15,100,25,0,ciwangi
1105,mixed,0.286,285,150,135,10,100,20,0,ciwangi
1100,owner,0.157,179,139,40,8,45,15,6600,ciwangi
990,owner,0.157,176,151,25,8,60,20,0,ciwangi
2090,owner,0.571,684,30,654,20,120,30,0,ciwangi
2200,owner,0.571,684,30,654,20,120,30,0,ciwangi
2500,owner,0.658,336,96,240,20,225,75,0,ciwangi
2310,owner,0.5,755,150,605,25,250,50,0,ciwangi
2585,owner,0.472,688,95,593,30,135,40,20625,ciwangi
2750,owner,0.472,605,95,510,30,140,45,0,ciwangi
4500,owner,0.852,1670,390,1280,40,250,100,1200,ciwangi
4000,owner,0.852,1595,390,1205,45,250,150,100,ciwangi
4050,owner,1.025,1044,244,800,50,300,50,1000,ciwangi
2200,owner,1.025,1315,240,1075,40,300,100,0,ciwangi
7150,owner,1.092,1100,90,1010,40,375,125,44800,ciwangi
7150,owner,1.093,1300,90,1210,40,375,125,0,ciwangi
9000,owner,1.9,2695,420,2275,65,400,125,1200,ciwangi
9000,owner,1.9,2525,340,2185,64,350,100,1200,ciwangi
4400,owner,1.816,927,227,700,60,300,100,0,ciwangi
3500,owner,1.816,1395,295,1100,60,450,150,0,ciwangi
11589,owner,1.945,1378,98,1280,55,400,200,62600,ciwangi
11589,owner,1.945,1878,98,1780,55,400,200,0,ciwangi
1100,mixed,0.286,215,65,150,15,75,25,0,ciwangi
1210,mixed,0.286,200,60,140,15,75,25,0,ciwangi
1870,mixed,0.341,478,268,210,14,110,55,0,ciwangi
770,owner,0.341,345,195,150,15,100,50,0,ciwangi
2640,mixed,0.486,469,249,220,33,150,50,9565,ciwangi
2120,mixed,0.486,469,249,220,33,150,50,525,ciwangi
